INCOME,INCOME_TYPE,User,EDUCATION_TYPE
81000,Working,5150210,Secondary / secondary special
81000,Working,5150209,Secondary / secondary special
81000,Working,5150208,Secondary / secondary special
112500,Working,5150149,Secondary / secondary special
112500,Working,5150148,Secondary / secondary special
112500,Working,5150147,Secondary / secondary special
112500,Working,5150146,Secondary / secondary special
112500,Working,5150145,Secondary / secondary special
112500,Working,5150144,Secondary / secondary special
117000,Working,5150143,Secondary / secondary special
117000,Working,5150142,Secondary / secondary special
157500,Working,5150122,Secondary / secondary special
225000,Working,5150121,Higher education
90000,State servant,5150118,Secondary / secondary special
90000,State servant,5150117,Secondary / secondary special
90000,State servant,5150116,Secondary / secondary special
90000,State servant,5150115,Secondary / secondary special
292500,Commercial associate,5150081,Higher education
360000,Commercial associate,5150080,Higher education
360000,Commercial associate,5150079,Higher education
360000,Commercial associate,5150078,Higher education
360000,Commercial associate,5150077,Higher education
279000,Working,5150075,Secondary / secondary special
279000,Working,5150074,Secondary / secondary special
67500,Commercial associate,5150073,Secondary / secondary special
67500,Commercial associate,5150072,Secondary / secondary special
112500,State servant,5150071,Higher education
112500,State servant,5150070,Higher education
225000,Commercial associate,5150068,Higher education
225000,Commercial associate,5150067,Higher education
225000,Working,5150064,Secondary / secondary special
225000,Working,5150063,Secondary / secondary special
225000,Working,5150062,Secondary / secondary special
225000,Working,5150061,Secondary / secondary special
63000,Working,5150059,Secondary / secondary special
63000,Working,5150058,Secondary / secondary special
180000,Working,5150056,Incomplete higher
180000,Working,5150055,Incomplete higher
180000,Working,5150054,Incomplete higher
180000,Working,5150053,Incomplete higher
283500,Working,5150052,Secondary / secondary special
283500,Working,5150051,Secondary / secondary special
283500,Working,5150050,Secondary / secondary special
283500,Working,5150049,Secondary / secondary special
283500,Working,5150048,Secondary / secondary special
283500,Working,5150047,Secondary / secondary special
54000,State servant,5150046,Secondary / secondary special
54000,State servant,5150045,Secondary / secondary special
54000,State servant,5150044,Secondary / secondary special
54000,State servant,5150043,Secondary / secondary special
54000,State servant,5150042,Secondary / secondary special
54000,State servant,5150041,Secondary / secondary special
180000,Working,5150040,Secondary / secondary special
180000,Working,5150039,Secondary / secondary special
180000,Working,5150038,Secondary / secondary special
180000,Working,5150037,Secondary / secondary special
180000,Working,5150036,Secondary / secondary special
112500,Working,5150034,Secondary / secondary special
112500,Working,5150033,Secondary / secondary special
112500,Working,5150032,Secondary / secondary special
225000,Working,5150006,Higher education
225000,Working,5150005,Higher education
225000,Working,5150004,Higher education
225000,Working,5150003,Higher education
225000,Working,5150002,Higher education
225000,Working,5150000,Higher education
220500,Working,5149996,Secondary / secondary special
220500,Working,5149995,Secondary / secondary special
220500,Working,5149994,Secondary / secondary special
220500,Working,5149993,Secondary / secondary special
405000,State servant,5149985,Higher education
405000,State servant,5149984,Higher education
405000,State servant,5149983,Higher education
405000,State servant,5149982,Higher education
405000,State servant,5149981,Higher education
405000,State servant,5149980,Higher education
405000,State servant,5149979,Higher education
405000,State servant,5149978,Higher education
405000,State servant,5149977,Higher education
405000,State servant,5149976,Higher education
247500,Working,5149973,Secondary / secondary special
247500,Working,5149972,Secondary / secondary special
180000,Working,5149969,Secondary / secondary special
180000,Working,5149968,Secondary / secondary special
180000,Working,5149967,Secondary / secondary special
180000,Working,5149966,Secondary / secondary special
180000,Working,5149965,Secondary / secondary special
180000,Working,5149964,Secondary / secondary special
180000,Working,5149963,Secondary / secondary special
180000,Working,5149962,Secondary / secondary special
180000,Working,5149961,Secondary / secondary special
180000,Working,5149960,Secondary / secondary special
180000,Working,5149959,Secondary / secondary special
180000,Working,5149958,Secondary / secondary special
180000,Working,5149957,Secondary / secondary special
180000,Working,5149956,Secondary / secondary special
180000,Working,5149955,Secondary / secondary special
180000,Working,5149954,Secondary / secondary special
180000,Working,5149953,Secondary / secondary special
67500,Commercial associate,5149952,Higher education
180000,Working,5149951,Higher education
180000,Working,5149950,Higher education
180000,Working,5149949,Higher education
180000,Working,5149947,Higher education
180000,Working,5149946,Higher education
180000,Working,5149945,Higher education
450000,Working,5149941,Secondary / secondary special
450000,Working,5149940,Secondary / secondary special
450000,Working,5149939,Secondary / secondary special
450000,Working,5149938,Secondary / secondary special
450000,Working,5149937,Secondary / secondary special
450000,Working,5149936,Secondary / secondary special
450000,Working,5149934,Secondary / secondary special
450000,Working,5149933,Secondary / secondary special
450000,Working,5149932,Secondary / secondary special
450000,Working,5149931,Secondary / secondary special
450000,Working,5149927,Secondary / secondary special
450000,Working,5149926,Secondary / secondary special
450000,Working,5149925,Secondary / secondary special
252000,State servant,5149922,Higher education
252000,State servant,5149921,Higher education
252000,State servant,5149920,Higher education
252000,State servant,5149919,Higher education
252000,State servant,5149918,Higher education
252000,State servant,5149917,Higher education
252000,State servant,5149916,Higher education
252000,State servant,5149915,Higher education
112500,Working,5149911,Secondary / secondary special
112500,Working,5149910,Secondary / secondary special
112500,Working,5149909,Secondary / secondary special
112500,Working,5149907,Secondary / secondary special
126000,Working,5149903,Higher education
126000,Working,5149902,Higher education
126000,Working,5149901,Higher education
126000,Working,5149899,Higher education
265500,State servant,5149898,Higher education
202500,Commercial associate,5149897,Secondary / secondary special
202500,Commercial associate,5149896,Secondary / secondary special
202500,Commercial associate,5149895,Secondary / secondary special
202500,Commercial associate,5149894,Secondary / secondary special
202500,Commercial associate,5149893,Secondary / secondary special
202500,Commercial associate,5149892,Secondary / secondary special
202500,Commercial associate,5149891,Secondary / secondary special
202500,Commercial associate,5149890,Secondary / secondary special
202500,Commercial associate,5149889,Secondary / secondary special
202500,Commercial associate,5149888,Secondary / secondary special
202500,Commercial associate,5149887,Secondary / secondary special
202500,Commercial associate,5149886,Secondary / secondary special
202500,Commercial associate,5149884,Secondary / secondary special
391500,Commercial associate,5149883,Higher education
391500,Commercial associate,5149882,Higher education
391500,Commercial associate,5149881,Higher education
391500,Commercial associate,5149880,Higher education
391500,Commercial associate,5149879,Higher education
391500,Commercial associate,5149878,Higher education
391500,Commercial associate,5149877,Higher education
391500,Commercial associate,5149876,Higher education
90000,Working,5149875,Secondary / secondary special
90000,Working,5149874,Secondary / secondary special
90000,Working,5149873,Secondary / secondary special
171000,Working,5149872,Secondary / secondary special
171000,Working,5149871,Secondary / secondary special
157500,Working,5149866,Secondary / secondary special
157500,Working,5149865,Secondary / secondary special
157500,Working,5149864,Secondary / secondary special
90000,State servant,5149862,Secondary / secondary special
90000,State servant,5149861,Secondary / secondary special
90000,State servant,5149859,Secondary / secondary special
121500,Working,5149858,Secondary / secondary special
112500,Commercial associate,5149857,Secondary / secondary special
112500,Commercial associate,5149856,Secondary / secondary special
112500,Commercial associate,5149855,Secondary / secondary special
270000,Commercial associate,5149854,Secondary / secondary special
360000,Working,5149847,Higher education
360000,Working,5149846,Higher education
144000,Working,5149843,Secondary / secondary special
157500,Pensioner,5149838,Higher education
157500,Commercial associate,5149837,Higher education
157500,Commercial associate,5149836,Higher education
157500,Commercial associate,5149835,Higher education
157500,Commercial associate,5149834,Higher education
157500,Commercial associate,5149833,Higher education
315000,Working,5149831,Secondary / secondary special
315000,Working,5149830,Secondary / secondary special
315000,Working,5149829,Secondary / secondary special
315000,Working,5149828,Secondary / secondary special
315000,Working,5149827,Secondary / secondary special
315000,Working,5149825,Secondary / secondary special
103500,Commercial associate,5149823,Higher education
103500,Commercial associate,5149822,Higher education
103500,Commercial associate,5149821,Higher education
103500,Commercial associate,5149820,Higher education
103500,Commercial associate,5149819,Higher education
180000,Working,5149818,Secondary / secondary special
180000,Working,5149817,Secondary / secondary special
180000,Working,5149816,Secondary / secondary special
180000,Working,5149815,Secondary / secondary special
180000,Working,5149814,Secondary / secondary special
180000,Working,5149813,Secondary / secondary special
180000,Working,5149812,Secondary / secondary special
126000,Commercial associate,5149799,Secondary / secondary special
247500,Commercial associate,5149796,Secondary / secondary special
247500,Commercial associate,5149795,Secondary / secondary special
247500,Commercial associate,5149794,Secondary / secondary special
157500,Working,5149793,Secondary / secondary special
157500,Working,5149792,Secondary / secondary special
157500,Working,5149790,Secondary / secondary special
270000,Working,5149783,Secondary / secondary special
270000,Working,5149782,Secondary / secondary special
270000,Working,5149781,Secondary / secondary special
99000,Working,5149780,Secondary / secondary special
99000,Working,5149779,Secondary / secondary special
130500,Working,5149775,Secondary / secondary special
130500,Working,5149773,Secondary / secondary special
130500,Working,5149772,Secondary / secondary special
130500,Working,5149771,Secondary / secondary special
130500,Working,5149770,Secondary / secondary special
130500,Working,5149769,Secondary / secondary special
130500,Working,5149768,Secondary / secondary special
180000,State servant,5149764,Secondary / secondary special
180000,State servant,5149763,Secondary / secondary special
180000,State servant,5149762,Secondary / secondary special
180000,State servant,5149761,Secondary / secondary special
180000,State servant,5149760,Secondary / secondary special
180000,State servant,5149759,Secondary / secondary special
180000,State servant,5149758,Secondary / secondary special
180000,State servant,5149757,Secondary / secondary special
180000,State servant,5149756,Secondary / secondary special
180000,State servant,5149755,Secondary / secondary special
180000,State servant,5149754,Secondary / secondary special
180000,State servant,5149753,Secondary / secondary special
180000,State servant,5149752,Secondary / secondary special
180000,State servant,5149751,Secondary / secondary special
180000,State servant,5149750,Secondary / secondary special
180000,State servant,5149749,Secondary / secondary special
180000,State servant,5149748,Secondary / secondary special
360000,Working,5149747,Secondary / secondary special
360000,Working,5149746,Secondary / secondary special
360000,Working,5149745,Secondary / secondary special
105750,Working,5149744,Secondary / secondary special
238500,Working,5149742,Secondary / secondary special
238500,Working,5149741,Secondary / secondary special
238500,Working,5149740,Secondary / secondary special
238500,Working,5149739,Secondary / secondary special
238500,Working,5149738,Secondary / secondary special
135000,Working,5149733,Secondary / secondary special
135000,Working,5149732,Secondary / secondary special
135000,Working,5149731,Secondary / secondary special
90000,Working,5149711,Higher education
90000,Working,5149710,Higher education
90000,Working,5149709,Higher education
90000,Working,5149708,Higher education
90000,Working,5149707,Higher education
90000,Working,5149705,Higher education
90000,Working,5149704,Higher education
90000,Working,5149703,Higher education
112500,Working,5149701,Secondary / secondary special
112500,Working,5149700,Secondary / secondary special
171000,Working,5149699,Incomplete higher
171000,Working,5149698,Incomplete higher
157500,Working,5149697,Incomplete higher
157500,Working,5149696,Incomplete higher
157500,Working,5149695,Incomplete higher
157500,Working,5149694,Incomplete higher
157500,Working,5149693,Incomplete higher
405000,Working,5149691,Secondary / secondary special
405000,Working,5149690,Secondary / secondary special
405000,Working,5149689,Secondary / secondary special
405000,Working,5149688,Secondary / secondary special
405000,Working,5149685,Secondary / secondary special
405000,Working,5149684,Secondary / secondary special
405000,Working,5149682,Secondary / secondary special
405000,Working,5149681,Secondary / secondary special
405000,Working,5149680,Secondary / secondary special
405000,Working,5149679,Secondary / secondary special
405000,Working,5149677,Secondary / secondary special
405000,Working,5149676,Secondary / secondary special
405000,Working,5149675,Secondary / secondary special
157500,State servant,5149674,Secondary / secondary special
405000,Commercial associate,5149673,Higher education
405000,Commercial associate,5149672,Higher education
405000,Commercial associate,5149671,Higher education
405000,Commercial associate,5149670,Higher education
405000,Commercial associate,5149669,Higher education
405000,Commercial associate,5149668,Higher education
180000,Commercial associate,5149667,Secondary / secondary special
180000,Commercial associate,5149666,Secondary / secondary special
180000,Commercial associate,5149665,Secondary / secondary special
180000,Commercial associate,5149664,Secondary / secondary special
180000,Commercial associate,5149663,Secondary / secondary special
180000,Commercial associate,5149662,Secondary / secondary special
180000,Commercial associate,5149661,Secondary / secondary special
180000,Commercial associate,5149660,Secondary / secondary special
157500,Working,5149640,Secondary / secondary special
157500,Working,5149639,Secondary / secondary special
157500,Working,5149638,Secondary / secondary special
157500,Working,5149637,Secondary / secondary special
157500,Working,5149636,Secondary / secondary special
157500,Working,5149635,Secondary / secondary special
382500,Working,5149632,Higher education
382500,Working,5149631,Higher education
382500,Working,5149630,Higher education
382500,Working,5149629,Higher education
382500,Working,5149628,Higher education
382500,Working,5149627,Higher education
382500,Working,5149626,Higher education
382500,Working,5149625,Higher education
382500,Working,5149623,Higher education
382500,Working,5149622,Higher education
382500,Working,5149621,Higher education
112500,Working,5149620,Incomplete higher
112500,Working,5149619,Incomplete higher
112500,Working,5149618,Incomplete higher
180000,Commercial associate,5149616,Secondary / secondary special
180000,Commercial associate,5149614,Secondary / secondary special
180000,Commercial associate,5149613,Secondary / secondary special
180000,Commercial associate,5149612,Secondary / secondary special
157500,Commercial associate,5149610,Higher education
157500,Commercial associate,5149609,Higher education
157500,Commercial associate,5149608,Higher education
157500,Commercial associate,5149607,Higher education
157500,Commercial associate,5149604,Higher education
157500,Working,5149597,Higher education
157500,Working,5149596,Higher education
157500,Working,5149595,Higher education
157500,Working,5149593,Higher education
157500,Working,5149592,Higher education
157500,Working,5149591,Higher education
90000,Working,5149590,Secondary / secondary special
90000,Working,5149589,Secondary / secondary special
90000,Working,5149588,Secondary / secondary special
126000,Working,5149587,Secondary / secondary special
126000,Working,5149586,Secondary / secondary special
126000,Working,5149585,Secondary / secondary special
126000,Working,5149584,Secondary / secondary special
126000,Working,5149583,Secondary / secondary special
135000,Commercial associate,5149581,Secondary / secondary special
135000,Commercial associate,5149580,Secondary / secondary special
135000,Commercial associate,5149579,Secondary / secondary special
135000,Commercial associate,5149578,Secondary / secondary special
135000,Commercial associate,5149577,Secondary / secondary special
135000,Commercial associate,5149576,Secondary / secondary special
135000,Commercial associate,5149575,Secondary / secondary special
135000,Commercial associate,5149574,Secondary / secondary special
135000,Commercial associate,5149573,Secondary / secondary special
135000,Commercial associate,5149572,Secondary / secondary special
135000,Commercial associate,5149571,Secondary / secondary special
135000,Commercial associate,5149568,Secondary / secondary special
135000,Commercial associate,5149567,Secondary / secondary special
135000,Commercial associate,5149566,Secondary / secondary special
135000,Commercial associate,5149565,Secondary / secondary special
247500,Commercial associate,5149564,Higher education
247500,Commercial associate,5149563,Higher education
247500,Commercial associate,5149562,Higher education
247500,Commercial associate,5149561,Higher education
247500,Commercial associate,5149559,Higher education
247500,Commercial associate,5149558,Higher education
247500,Commercial associate,5149557,Higher education
247500,Commercial associate,5149556,Higher education
247500,Commercial associate,5149555,Higher education
247500,Commercial associate,5149554,Higher education
247500,Commercial associate,5149553,Higher education
135000,Commercial associate,5149551,Secondary / secondary special
135000,Commercial associate,5149550,Secondary / secondary special
130500,State servant,5149547,Secondary / secondary special
130500,State servant,5149546,Secondary / secondary special
130500,State servant,5149545,Secondary / secondary special
130500,State servant,5149544,Secondary / secondary special
130500,State servant,5149543,Secondary / secondary special
130500,State servant,5149542,Secondary / secondary special
130500,State servant,5149541,Secondary / secondary special
130500,State servant,5149540,Secondary / secondary special
130500,State servant,5149539,Secondary / secondary special
130500,State servant,5149538,Secondary / secondary special
130500,State servant,5149537,Secondary / secondary special
130500,State servant,5149536,Secondary / secondary special
130500,State servant,5149535,Secondary / secondary special
130500,State servant,5149531,Secondary / secondary special
130500,State servant,5149530,Secondary / secondary special
130500,State servant,5149529,Secondary / secondary special
126000,Working,5149528,Secondary / secondary special
90000,Working,5149523,Lower secondary
90000,Working,5149522,Lower secondary
90000,Working,5149521,Lower secondary
90000,Working,5149520,Lower secondary
90000,Working,5149519,Lower secondary
90000,Working,5149518,Lower secondary
157500,Working,5149509,Secondary / secondary special
157500,Working,5149508,Secondary / secondary special
157500,Working,5149507,Secondary / secondary special
157500,Working,5149506,Secondary / secondary special
157500,Working,5149505,Secondary / secondary special
157500,Working,5149504,Secondary / secondary special
157500,Working,5149502,Secondary / secondary special
157500,Working,5149501,Secondary / secondary special
157500,Working,5149500,Secondary / secondary special
157500,Working,5149499,Secondary / secondary special
360000,Working,5149498,Higher education
360000,Working,5149497,Higher education
360000,Working,5149496,Higher education
360000,Working,5149495,Higher education
360000,Working,5149494,Higher education
360000,Working,5149493,Higher education
90000,Working,5149491,Higher education
90000,Working,5149490,Higher education
90000,Working,5149489,Higher education
90000,Working,5149488,Higher education
193500,Commercial associate,5149468,Secondary / secondary special
193500,Commercial associate,5149467,Secondary / secondary special
193500,Commercial associate,5149466,Secondary / secondary special
193500,Commercial associate,5149465,Secondary / secondary special
193500,Commercial associate,5149464,Secondary / secondary special
193500,Commercial associate,5149463,Secondary / secondary special
193500,Commercial associate,5149462,Secondary / secondary special
238500,Working,5149461,Higher education
238500,Working,5149459,Higher education
238500,Working,5149458,Higher education
238500,Working,5149457,Higher education
238500,Working,5149456,Higher education
238500,Working,5149455,Higher education
238500,Working,5149454,Higher education
238500,Working,5149452,Higher education
238500,Working,5149451,Higher education
238500,Working,5149450,Higher education
238500,Working,5149448,Higher education
238500,Working,5149447,Higher education
238500,Working,5149446,Higher education
238500,Working,5149445,Higher education
315000,Working,5149438,Higher education
315000,Working,5149436,Higher education
315000,Working,5149435,Higher education
315000,Working,5149428,Secondary / secondary special
315000,Working,5149427,Secondary / secondary special
202500,Working,5149426,Higher education
202500,Working,5149425,Higher education
202500,Working,5149424,Higher education
202500,Working,5149423,Higher education
202500,Working,5149419,Higher education
112500,Commercial associate,5149416,Secondary / secondary special
112500,Commercial associate,5149415,Secondary / secondary special
112500,Commercial associate,5149414,Secondary / secondary special
315000,Commercial associate,5149413,Higher education
135000,Commercial associate,5149412,Secondary / secondary special
135000,Commercial associate,5149411,Secondary / secondary special
135000,Commercial associate,5149410,Secondary / secondary special
135000,Commercial associate,5149409,Secondary / secondary special
135000,Commercial associate,5149408,Secondary / secondary special
135000,Commercial associate,5149407,Secondary / secondary special
135000,Commercial associate,5149406,Secondary / secondary special
135000,Commercial associate,5149405,Secondary / secondary special
135000,Commercial associate,5149404,Secondary / secondary special
135000,Commercial associate,5149403,Secondary / secondary special
135000,Commercial associate,5149402,Secondary / secondary special
135000,Commercial associate,5149401,Secondary / secondary special
135000,Commercial associate,5149400,Secondary / secondary special
135000,Commercial associate,5149399,Secondary / secondary special
135000,Commercial associate,5149398,Secondary / secondary special
135000,Commercial associate,5149397,Secondary / secondary special
135000,Commercial associate,5149396,Secondary / secondary special
135000,Commercial associate,5149395,Secondary / secondary special
135000,Commercial associate,5149394,Secondary / secondary special
135000,Commercial associate,5149393,Secondary / secondary special
135000,Commercial associate,5149392,Secondary / secondary special
135000,Commercial associate,5149391,Secondary / secondary special
360000,Commercial associate,5149383,Higher education
360000,Commercial associate,5149382,Higher education
360000,Commercial associate,5149381,Higher education
360000,Commercial associate,5149380,Higher education
360000,Commercial associate,5149378,Higher education
157500,Working,5149376,Secondary / secondary special
157500,Working,5149375,Secondary / secondary special
157500,Working,5149372,Secondary / secondary special
112500,Commercial associate,5149355,Higher education
225000,Commercial associate,5149354,Higher education
225000,Commercial associate,5149353,Higher education
225000,Commercial associate,5149352,Higher education
180000,Working,5149350,Secondary / secondary special
180000,Working,5149349,Secondary / secondary special
405000,Commercial associate,5149348,Secondary / secondary special
292500,Commercial associate,5149343,Higher education
292500,Commercial associate,5149342,Higher education
292500,Commercial associate,5149341,Higher education
292500,Commercial associate,5149340,Higher education
292500,Commercial associate,5149339,Higher education
292500,Commercial associate,5149338,Higher education
292500,Commercial associate,5149337,Higher education
292500,Commercial associate,5149336,Higher education
155250,Working,5149334,Secondary / secondary special
155250,Working,5149333,Secondary / secondary special
155250,Working,5149332,Secondary / secondary special
155250,Working,5149331,Secondary / secondary special
155250,Working,5149330,Secondary / secondary special
180000,Working,5149329,Higher education
180000,Working,5149328,Higher education
180000,Working,5149327,Higher education
180000,Working,5149326,Higher education
180000,Working,5149325,Higher education
180000,Working,5149324,Higher education
180000,Working,5149322,Higher education
180000,Working,5149321,Higher education
180000,Working,5149320,Higher education
180000,Working,5149319,Higher education
180000,Working,5149318,Higher education
180000,Working,5149317,Higher education
180000,Working,5149316,Higher education
180000,Working,5149315,Higher education
180000,Working,5149314,Higher education
180000,Working,5149313,Higher education
180000,Working,5149312,Higher education
157500,Commercial associate,5149311,Secondary / secondary special
103500,Commercial associate,5149307,Secondary / secondary special
225000,Working,5149294,Secondary / secondary special
225000,Working,5149293,Secondary / secondary special
225000,Working,5149292,Secondary / secondary special
225000,Working,5149291,Secondary / secondary special
225000,Working,5149290,Secondary / secondary special
225000,Working,5149289,Secondary / secondary special
225000,Working,5149287,Secondary / secondary special
225000,Working,5149286,Secondary / secondary special
225000,Working,5149285,Secondary / secondary special
81000,Working,5149284,Secondary / secondary special
81000,Working,5149282,Secondary / secondary special
81000,Working,5149281,Secondary / secondary special
81000,Working,5149280,Secondary / secondary special
270000,Working,5149278,Secondary / secondary special
270000,Working,5149277,Secondary / secondary special
270000,Working,5149276,Secondary / secondary special
270000,Working,5149275,Secondary / secondary special
270000,Working,5149273,Secondary / secondary special
270000,Working,5149272,Secondary / secondary special
270000,Working,5149271,Secondary / secondary special
270000,Working,5149270,Secondary / secondary special
270000,Working,5149269,Secondary / secondary special
270000,Working,5149267,Secondary / secondary special
72000,Working,5149266,Incomplete higher
189000,State servant,5149265,Secondary / secondary special
189000,State servant,5149264,Secondary / secondary special
157500,Working,5149262,Secondary / secondary special
157500,Working,5149261,Secondary / secondary special
157500,Working,5149259,Secondary / secondary special
157500,State servant,5149258,Secondary / secondary special
157500,State servant,5149255,Secondary / secondary special
180000,Working,5149254,Secondary / secondary special
180000,Working,5149253,Secondary / secondary special
135000,Commercial associate,5149252,Secondary / secondary special
135000,Commercial associate,5149251,Secondary / secondary special
135000,Commercial associate,5149249,Secondary / secondary special
135000,Commercial associate,5149248,Secondary / secondary special
135000,Commercial associate,5149246,Secondary / secondary special
225000,Commercial associate,5149245,Higher education
225000,Commercial associate,5149244,Higher education
225000,Commercial associate,5149243,Higher education
225000,Commercial associate,5149242,Higher education
225000,Commercial associate,5149241,Higher education
225000,Commercial associate,5149240,Higher education
225000,Commercial associate,5149239,Higher education
135000,Commercial associate,5149238,Secondary / secondary special
135000,Commercial associate,5149237,Secondary / secondary special
180000,Working,5149220,Secondary / secondary special
180000,Working,5149219,Secondary / secondary special
180000,Working,5149218,Secondary / secondary special
180000,Working,5149217,Secondary / secondary special
180000,Working,5149216,Secondary / secondary special
180000,Working,5149215,Secondary / secondary special
180000,Working,5149214,Secondary / secondary special
180000,Working,5149213,Secondary / secondary special
112500,Working,5149210,Secondary / secondary special
112500,Working,5149209,Secondary / secondary special
112500,Working,5149208,Secondary / secondary special
112500,Working,5149206,Secondary / secondary special
225000,Commercial associate,5149205,Higher education
225000,Commercial associate,5149203,Higher education
225000,Commercial associate,5149202,Higher education
225000,Commercial associate,5149201,Higher education
225000,Commercial associate,5149200,Higher education
180000,Commercial associate,5149199,Incomplete higher
180000,Commercial associate,5149197,Incomplete higher
180000,Commercial associate,5149196,Incomplete higher
180000,Commercial associate,5149195,Incomplete higher
135000,Commercial associate,5149194,Secondary / secondary special
157500,Working,5149193,Secondary / secondary special
450000,Working,5149192,Higher education
450000,Working,5149191,Higher education
450000,Working,5149190,Higher education
450000,Working,5149189,Higher education
450000,Working,5149188,Higher education
180000,Working,5149187,Higher education
180000,Working,5149186,Higher education
180000,Working,5149185,Higher education
180000,Working,5149184,Higher education
180000,Working,5149183,Higher education
171000,Commercial associate,5149173,Higher education
202500,Commercial associate,5149171,Secondary / secondary special
202500,Commercial associate,5149170,Secondary / secondary special
202500,Commercial associate,5149169,Secondary / secondary special
247500,Working,5149164,Secondary / secondary special
247500,Working,5149162,Secondary / secondary special
247500,Working,5149159,Secondary / secondary special
247500,Working,5149158,Secondary / secondary special
247500,Working,5149157,Secondary / secondary special
247500,Working,5149150,Secondary / secondary special
247500,Working,5149146,Secondary / secondary special
247500,Working,5149145,Secondary / secondary special
247500,Working,5149144,Secondary / secondary special
247500,Working,5149143,Secondary / secondary special
247500,Working,5149142,Secondary / secondary special
247500,Working,5149141,Secondary / secondary special
247500,Working,5149140,Secondary / secondary special
247500,Working,5149139,Secondary / secondary special
247500,Working,5149138,Secondary / secondary special
180000,Working,5149137,Secondary / secondary special
180000,Working,5149135,Secondary / secondary special
135000,Working,5149130,Higher education
360000,Working,5149126,Higher education
360000,Working,5149125,Higher education
360000,Working,5149124,Higher education
360000,Working,5149123,Higher education
360000,Working,5149122,Higher education
360000,Working,5149121,Higher education
360000,Working,5149120,Higher education
360000,Working,5149119,Higher education
360000,Working,5149118,Higher education
90000,Commercial associate,5149114,Incomplete higher
90000,Commercial associate,5149113,Incomplete higher
90000,Commercial associate,5149112,Incomplete higher
90000,Commercial associate,5149111,Incomplete higher
90000,Commercial associate,5149110,Incomplete higher
270000,Working,5149109,Secondary / secondary special
270000,Working,5149108,Secondary / secondary special
