ID,GENDER,CAR,REALITY,NO_OF_CHILD,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_TYPE,EDUCATION_TYPE
5008837,M,Y,Y,3,Married,House / apartment,1,0,0,0,5.0,18,35,3.0,0,270000.0,Working,Secondary / secondary special
5008838,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,39,32,6.0,0,405000.0,Commercial associate,Higher education
5008839,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,13,32,6.0,0,405000.0,Commercial associate,Higher education
5008840,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,55,32,6.0,0,405000.0,Commercial associate,Higher education
5008841,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,4,32,6.0,0,405000.0,Commercial associate,Higher education
5008842,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,8,32,6.0,0,405000.0,Commercial associate,Higher education
5008843,M,N,Y,1,Married,House / apartment,1,0,0,0,3.0,29,32,6.0,0,405000.0,Commercial associate,Higher education
5008844,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,43,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008846,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,11,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008847,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,46,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008849,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,51,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008850,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,25,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008851,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,11,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008852,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,0,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008853,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,39,56,12.0,0,112500.0,Commercial associate,Secondary / secondary special
5008854,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,39,43,9.0,0,135000.0,Working,Secondary / secondary special
5008855,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,28,43,9.0,0,135000.0,Working,Secondary / secondary special
5008856,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,3,43,9.0,0,135000.0,Working,Secondary / secondary special
5008857,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,27,43,9.0,0,135000.0,Working,Secondary / secondary special
5008858,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,10,43,9.0,0,135000.0,Working,Secondary / secondary special
5008859,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,4,43,9.0,0,135000.0,Working,Secondary / secondary special
5008860,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,3,43,9.0,0,135000.0,Working,Secondary / secondary special
5008861,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,3,43,9.0,0,135000.0,Working,Secondary / secondary special
5008862,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,2,43,9.0,0,135000.0,Working,Secondary / secondary special
5008863,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,2,43,9.0,0,135000.0,Working,Secondary / secondary special
5008864,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,2,43,,0,135000.0,Working,Secondary / secondary special
5008865,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,8,43,9.0,0,135000.0,Working,Secondary / secondary special
5008866,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,19,43,9.0,0,135000.0,Working,Secondary / secondary special
5008867,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,25,43,9.0,0,135000.0,Working,Secondary / secondary special
5112846,F,Y,Y,2,Married,House / apartment,1,0,0,0,4.0,18,43,9.0,0,135000.0,Working,Secondary / secondary special
5008868,F,N,Y,1,Civil marriage,House / apartment,1,0,0,0,3.0,24,44,19.0,0,211500.0,State servant,Secondary / secondary special
5008870,F,N,Y,1,Civil marriage,House / apartment,1,0,0,0,3.0,20,44,19.0,0,211500.0,State servant,Secondary / secondary special
5008872,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,46,15.0,0,360000.0,Commercial associate,Secondary / secondary special
5008873,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,21,34,5.0,0,126000.0,Commercial associate,Higher education
5008874,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,45,34,5.0,0,126000.0,Commercial associate,Higher education
5008875,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,39,34,5.0,0,126000.0,Commercial associate,Higher education
5008876,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,43,34,5.0,0,126000.0,Commercial associate,Higher education
5008877,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,7,34,5.0,0,126000.0,Commercial associate,Higher education
5008878,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,43,34,5.0,0,126000.0,Commercial associate,Higher education
5008879,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,21,34,5.0,0,126000.0,Commercial associate,Higher education
5008880,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,10,34,5.0,0,126000.0,Commercial associate,Higher education
5008881,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,19,34,5.0,0,126000.0,Commercial associate,Higher education
5008882,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,45,34,5.0,0,126000.0,Commercial associate,Higher education
5008888,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,11,47,4.0,0,247500.0,Commercial associate,Higher education
5008889,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,4,47,4.0,0,247500.0,Commercial associate,Higher education
5008890,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,48,47,4.0,0,247500.0,Commercial associate,Higher education
5112847,F,N,Y,0,Separated,Rented apartment,1,0,0,0,1.0,25,47,4.0,0,247500.0,Commercial associate,Higher education
5008891,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,7,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008892,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,37,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008893,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,36,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008894,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,36,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008895,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,34,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008896,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,34,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008897,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,32,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008898,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,31,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008899,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,30,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008900,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,29,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008901,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,27,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008902,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,27,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008903,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,27,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008904,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,26,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008905,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,25,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008906,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,24,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008907,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,23,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008908,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,22,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008909,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,22,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008910,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,21,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008911,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,21,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008912,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,20,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008913,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,19,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008914,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,18,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008915,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,18,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008916,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,17,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008917,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,17,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008918,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,16,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008919,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,15,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008920,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,15,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008921,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,13,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008922,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,13,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008923,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,12,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008924,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,12,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008925,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,12,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008926,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,11,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008927,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,9,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008928,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,9,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008929,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,7,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008930,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,6,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008931,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,5,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008932,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,5,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008933,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,5,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008934,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,4,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008935,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,4,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008936,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,3,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008937,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,1,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008938,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,1,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008939,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,0,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008940,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,1,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008941,F,N,Y,0,Single / not married,Rented apartment,1,0,0,0,1.0,7,43,9.0,0,297000.0,Commercial associate,Secondary / secondary special
5008942,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,43,37,13.0,0,157500.0,Commercial associate,Higher education
5008943,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,14,37,13.0,0,157500.0,Commercial associate,Higher education
5008944,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,23,37,13.0,0,157500.0,Commercial associate,Higher education
5008945,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,30,37,13.0,0,157500.0,Commercial associate,Higher education
5008946,F,N,N,0,Married,House / apartment,1,0,1,0,2.0,48,37,13.0,0,157500.0,Commercial associate,Higher education
5008947,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,12,42,4.0,0,135000.0,Working,Secondary / secondary special
5008948,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,17,42,4.0,0,135000.0,Working,Secondary / secondary special
5008949,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,0,42,4.0,0,135000.0,Working,Secondary / secondary special
5008950,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,12,42,4.0,0,135000.0,Working,Secondary / secondary special
5008955,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,4,49,5.0,0,135000.0,Working,Secondary / secondary special
5008956,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,39,49,5.0,0,135000.0,Working,Secondary / secondary special
5008957,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,51,49,5.0,0,135000.0,Working,Secondary / secondary special
5008958,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,3,49,5.0,0,135000.0,Working,Secondary / secondary special
5008959,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,15,49,5.0,0,135000.0,Working,Secondary / secondary special
5008960,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,28,49,5.0,0,135000.0,Working,Secondary / secondary special
5008962,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,26,49,5.0,0,135000.0,Working,Secondary / secondary special
5008963,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,38,49,5.0,0,135000.0,Working,Secondary / secondary special
5008981,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,57,7.0,0,112500.0,State servant,Secondary / secondary special
5008983,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,58,57,7.0,0,112500.0,State servant,Secondary / secondary special
5008984,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,58,57,7.0,0,112500.0,State servant,Secondary / secondary special
5008986,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,57,7.0,0,112500.0,State servant,Secondary / secondary special
5008987,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,10,57,7.0,0,112500.0,State servant,Secondary / secondary special
5008988,M,Y,Y,0,Married,House / apartment,1,0,1,0,2.0,16,57,7.0,0,112500.0,State servant,Secondary / secondary special
5008991,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,30,45,3.0,0,270000.0,Working,Secondary / secondary special
5008992,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,6,45,3.0,0,270000.0,Working,Secondary / secondary special
5008993,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,17,45,3.0,0,270000.0,Working,Secondary / secondary special
5008994,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,19,45,3.0,0,270000.0,Working,Secondary / secondary special
5008995,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,28,45,3.0,0,270000.0,Working,Secondary / secondary special
5112861,F,Y,Y,0,Separated,House / apartment,1,1,1,0,1.0,21,45,3.0,0,270000.0,Working,Secondary / secondary special
5008998,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,4,29,2.0,0,270000.0,Working,Higher education
5008999,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,24,29,2.0,0,270000.0,Working,Higher education
5009000,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,22,27,2.0,0,157500.0,Working,Secondary / secondary special
5009001,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,40,52,17.0,0,166500.0,Working,Secondary / secondary special
5009002,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,44,52,17.0,0,166500.0,Working,Secondary / secondary special
5009005,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,35,52,17.0,0,166500.0,Working,Secondary / secondary special
5009006,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,45,52,17.0,0,166500.0,Working,Secondary / secondary special
5009007,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,59,52,17.0,0,166500.0,Working,Secondary / secondary special
5009008,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,9,52,17.0,0,166500.0,Working,Secondary / secondary special
5009009,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,32,52,17.0,0,166500.0,Working,Secondary / secondary special
5009010,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,12,52,17.0,0,166500.0,Working,Secondary / secondary special
5009012,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,5,52,17.0,0,166500.0,Working,Secondary / secondary special
5009014,M,N,Y,0,Married,House / apartment,1,1,1,0,2.0,35,52,17.0,0,166500.0,Working,Secondary / secondary special
5009027,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,21,54,30.0,0,270000.0,Commercial associate,Secondary / secondary special
5112862,F,Y,Y,0,Married,House / apartment,1,0,0,1,2.0,40,54,30.0,0,270000.0,Commercial associate,Secondary / secondary special
5009028,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,17,40,8.0,0,225000.0,Commercial associate,Secondary / secondary special
5009029,F,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,15,40,8.0,0,225000.0,Commercial associate,Secondary / secondary special
5009031,F,N,Y,0,Single / not married,House / apartment,1,0,0,0,1.0,13,29,3.0,0,315000.0,Working,Secondary / secondary special
5009032,F,N,Y,0,Single / not married,House / apartment,1,0,0,0,1.0,13,29,3.0,0,315000.0,Working,Secondary / secondary special
5009039,F,N,Y,2,Single / not married,House / apartment,1,0,0,0,3.0,8,39,2.0,0,157500.0,Working,Secondary / secondary special
5009040,F,N,Y,2,Single / not married,House / apartment,1,0,0,0,3.0,3,39,2.0,0,157500.0,,Secondary / secondary special
5009042,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,20,48,2.0,0,148500.0,Working,Higher education
5009043,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,20,48,2.0,0,148500.0,Working,Higher education
5009044,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,18,48,2.0,0,148500.0,Working,Higher education
5009045,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,17,48,2.0,0,148500.0,Working,Higher education
5009046,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,7,48,2.0,0,148500.0,Working,Higher education
5009047,F,N,Y,0,Married,House / apartment,1,0,0,0,2.0,11,48,2.0,0,148500.0,Working,Higher education
5009050,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,34,30,6.0,0,202500.0,Working,Higher education
5009051,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,56,30,6.0,0,202500.0,Working,Higher education
5009052,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,47,30,6.0,0,202500.0,Working,Higher education
5009053,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,51,30,6.0,0,202500.0,Working,Higher education
5009055,F,N,Y,2,Married,House / apartment,1,0,0,1,4.0,55,30,6.0,0,202500.0,Working,Higher education
5009056,M,N,Y,0,Single / not married,House / apartment,1,1,0,0,1.0,24,24,2.0,0,202500.0,Working,Secondary / secondary special
5009057,M,N,Y,0,Single / not married,House / apartment,1,1,0,0,1.0,9,24,2.0,0,202500.0,Working,Secondary / secondary special
5009058,F,Y,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,0,21,2.0,0,112500.0,Commercial associate,Secondary / secondary special
5009062,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,45,29,6.0,0,315000.0,Working,Secondary / secondary special
5009063,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,27,29,6.0,0,315000.0,Working,Secondary / secondary special
5009064,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,4,29,6.0,0,315000.0,Working,Secondary / secondary special
5009065,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,10,29,6.0,0,315000.0,Working,Secondary / secondary special
5009066,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,15,29,6.0,0,315000.0,Working,Secondary / secondary special
5009067,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,36,29,6.0,0,315000.0,Working,Secondary / secondary special
5009068,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,22,29,6.0,0,315000.0,Working,Secondary / secondary special
5009069,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,35,29,6.0,0,315000.0,Working,Secondary / secondary special
5009070,M,Y,Y,0,Civil marriage,House / apartment,1,0,0,0,2.0,39,29,6.0,0,315000.0,Working,Secondary / secondary special
5009071,F,Y,Y,0,Civil marriage,Municipal apartment,1,0,1,1,2.0,20,28,9.0,0,270000.0,Commercial associate,Incomplete higher
5009072,F,Y,Y,0,Civil marriage,Municipal apartment,1,0,1,1,2.0,43,28,9.0,0,270000.0,Commercial associate,Incomplete higher
5009074,F,Y,Y,1,Married,House / apartment,1,0,1,1,3.0,22,49,2.0,0,450000.0,State servant,Higher education
5009075,F,Y,Y,1,Married,House / apartment,1,0,1,1,3.0,28,49,2.0,0,450000.0,State servant,Higher education
5009078,M,N,Y,1,Married,With parents,1,0,0,0,3.0,30,39,4.0,0,180000.0,Working,Secondary / secondary special
5009079,F,N,Y,0,Civil marriage,House / apartment,1,0,0,1,2.0,43,28,9.0,0,112500.0,Working,Higher education
5009080,F,N,Y,0,Civil marriage,House / apartment,1,0,0,1,2.0,15,28,9.0,0,112500.0,Working,Higher education
5009081,F,N,Y,0,Civil marriage,House / apartment,1,0,0,1,2.0,19,28,9.0,0,112500.0,Working,Higher education
5009083,M,N,Y,0,Married,House / apartment,1,0,0,0,2.0,51,56,16.0,0,90000.0,Working,Secondary / secondary special
5009084,M,N,Y,0,Married,House / apartment,1,0,0,0,2.0,2,56,16.0,0,90000.0,Working,Secondary / secondary special
5009088,M,Y,N,2,Married,House / apartment,1,0,0,0,4.0,46,40,8.0,0,202500.0,Commercial associate,Higher education
5009089,M,Y,N,2,Married,House / apartment,1,0,0,0,4.0,39,40,8.0,0,202500.0,Commercial associate,Higher education
5009090,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,13,35,11.0,0,247500.0,Working,Secondary / secondary special
5009092,M,Y,Y,1,Married,House / apartment,1,1,0,0,3.0,3,33,3.0,0,765000.0,Working,Higher education
5009094,M,Y,Y,1,Married,House / apartment,1,1,0,0,3.0,3,33,3.0,0,765000.0,Working,Higher education
5009095,M,Y,Y,1,Married,House / apartment,1,1,0,0,3.0,3,33,3.0,0,765000.0,Working,Higher education
5009096,F,N,Y,1,Married,House / apartment,1,0,0,1,3.0,24,37,12.0,0,270000.0,Commercial associate,Secondary / secondary special
5009097,F,N,Y,1,Married,House / apartment,1,0,0,1,3.0,33,37,12.0,0,270000.0,Commercial associate,Secondary / secondary special
5009098,F,N,Y,1,Married,House / apartment,1,0,0,1,3.0,17,37,12.0,0,270000.0,Commercial associate,Secondary / secondary special
5009099,F,N,Y,0,Separated,House / apartment,1,0,0,0,1.0,56,36,2.0,0,315000.0,Working,Higher education
5009100,F,N,Y,0,Separated,House / apartment,1,0,0,0,1.0,27,36,2.0,0,315000.0,Working,Higher education
